Chr	Gene_ID	Product description	Gene Identification	MIS	MFS	# of insertions in CDS	# of nor malized reads (raw)	Note*	# of TTAA in CDS	TTAA density in CDS	transcript length	geneStart	endStart	gene strand	Ortholog count	Paralog count	NonSyn/Syn SNP Ratio	GO Processes	GO Functions	GO Components		
chr1	PF3D7_0101100	exported protein family 4	Non - Mutable in CDS	0.151	-2.77	0	5.66		12	12.9	930	69314	70427	-	8	12	5.86	N/A	N/A	Maurer's cleft		
chr1	PF3D7_0101200	exported protein family 3	Mutable in CDS	0.795	-2.494	1	14.41		11	15.87	693	71634	72436	+	5	9	2.71	N/A	N/A	Maurer's cleft		
chr1	PF3D7_0101300	Pfmc-2TM Maurer's cleft two transmembrane protein	Mutable in CDS	1	-1.492	3	45.76		12	16.95	708	74574	75377	+	10	12	8.5	translocation of peptides or proteins into host	N/A	"Maurer's cleft, integral component of membrane"		
chr1	PF3D7_0101400	"exported protein family 1, pseudogene"	Non - Mutable in CDS	0.14	-3.052	0	4.41		11	13.33	825	75992	76819	-	12	13	5.64	N/A	N/A	Maurer's cleft		
chr1	PF3D7_0101500	"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"	Non - Mutable in CDS	0.963	-2.374	0	4.36	tentative	11	6.69	1644	78251	79901	+	3	4	3.25	N/A	N/A	N/A		
chr1	PF3D7_0101600	rifin	Non - Mutable in CDS	0.199	-2.872	0	7.95		13	11.71	1110	81775	83116	-	597	183	4.05	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr1	PF3D7_0101700	"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"	Non - Mutable in CDS	0.895	-2.228	0	4.76		10	7.36	1359	84801	86162	-	204	98	3.91	N/A	N/A	N/A		
chr1	PF3D7_0101800	stevor	Non - Mutable in CDS	0.513	-2.311	0	4.56		8	9.2	870	87213	88187	-	102	40	4.67	modulation by symbiont of host erythrocyte aggregation	N/A	Maurer's cleft		
chr1	PF3D7_0101900	rifin	Non - Mutable in CDS	0.994	-2.047	0	0.75	tentative	6	5.81	1032	90252	91430	-	597	183	7.21	antigenic variation	N/A	host cell plasma membrane		
chr1	PF3D7_0102000	"Plasmodium exported protein (PHISTa), unknown function, pseudogene"	Non - Mutable in CDS	0.693	-2.364	0	1.58		6	8.4	714	93123	93843	-	80	46	6	N/A	N/A	N/A		
chr1	PF3D7_0102100	"stevor, pseudogene"	Non - Mutable in CDS	0.929	-2.129	0	7.59		6	7.09	846	95060	95909	+	102	40	3.25	N/A	N/A	Maurer's cleft		
chr1	PF3D7_0102200	ring-infected erythrocyte surface antigen	Mutable in CDS	1	-2.166	2	37.18		24	7.37	3258	98829	102292	+	17	7	1.79	regulation of immune response	protein binding	"host cell plasma membrane, merozoite dense granule, symbiont-containing vacuole"		
chr1	PF3D7_0102300	"Plasmodium exported protein, unknown function"	Mutable in CDS	0.932	-1.688	1	5.22		5	14.12	354	104714	105219	+	2	0	0	N/A	N/A	apicoplast		
chr1	PF3D7_0102400	"lysophospholipase, putative, pseudogene"	Non - Mutable in CDS	0.147	-2.741	0	10.1		15	13.05	1149	107207	108358	-	2	0	5.13	N/A	N/A	N/A		
chr1	PF3D7_0102500	erythrocyte binding antigen-181	Mutable in CDS	0.999	-2.102	1	53.71		47	9.99	4704	110764	115813	-	34	4	6.73	"entry into host cell, single organismal cell-cell adhesion"	"heparin binding, sialic acid binding"	microneme		
chr1	PF3D7_0102600	"serine/threonine protein kinase, FIKK family"	Mutable in CDS	1	-0.921	5	111.82		28	14.79	1893	119055	121263	-	2	0	4.33	protein phosphorylation	protein kinase activity	N/A		
chr1	PF3D7_0102700	merozoite-associated tryptophan-rich antigen	Non - Mutable in CDS	0.142	-2.851	0	3.06		11	13.24	831	124529	125496	+	2	0	11	N/A	N/A	cell surface		
chr1	PF3D7_0102800	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.99	-0.096	1	164.37		22	12.06	1824	126330	128153	-	18	0	2	N/A	N/A	N/A		
chr1	PF3D7_0102900	aspartate--tRNA ligase	Non - Mutable in CDS	0.119	-2.954	0	13.67		29	15.42	1881	128972	130852	-	18	0	1	aspartyl-tRNA aminoacylation	"aspartate-tRNA ligase activity, protein homodimerization activity"	cytoplasm		
chr1	PF3D7_0103000	"vacuolar protein sorting-associated protein VTA1, putative"	Non - Mutable in CDS	0.123	-3.123	0	3.67		13	16.67	780	132098	133636	-	18	0	1.5	N/A	N/A	N/A		
chr1	PF3D7_0103100	"vacuolar protein sorting-associated protein 51, putative"	Non - Mutable in CDS	0.165	-2.812	0	37.39		61	12.44	4905	134365	139269	-	18	0	3.72	"protein transport, retrograde transport, endosome to Golgi"	N/A	Golgi apparatus		
chr1	PF3D7_0103200	nucleoside transporter 4	Non - Mutable in CDS	0.12	-3.064	0	10.02		20	15.33	1305	140674	142231	-	18	0	2.83	"purine nucleobase transport, purine nucleoside transmembrane transport"	"purine nucleobase transmembrane transporter activity, purine nucleoside transmembrane transporter activity"	N/A		
chr1	PF3D7_0103300	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.12	-2.961	0	17.34		42	15.23	2757	143652	146408	-	18	0	2.26	N/A	N/A	N/A		
chr1	PF3D7_0103400	"zinc-carboxypeptidase, putative"	Mutable in CDS	1	-0.537	3	126.7		34	6.99	4863	147927	152789	-	18	0	3.15	N/A	N/A	N/A		
chr1	PF3D7_0103500	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.989	2	286.66		68	12.43	5472	154188	160438	+	18	0	3.21	N/A	N/A	N/A		
chr1	PF3D7_0103600	"ATP-dependent RNA helicase, putative"	Mutable in CDS	1	-1.61	2	128.87		55	11.94	4605	161143	166241	+	18	0	6.19	N/A	N/A	N/A		
chr1	PF3D7_0103700	"L-seryl-tRNA(Sec) kinase, putative"	Mutable in CDS	1	-2.284	3	11.97		21	13.06	1608	166525	168699	+	17	0	2.25	N/A	N/A	N/A		
chr1	PF3D7_0103800	actin-related protein	Mutable in CDS	1	0.633	1	98.89		10	8.75	1143	169091	171285	-	18	0	2.25	N/A	structural constituent of cytoskeleton	"apical part of cell, dynactin complex"		
chr1	PF3D7_0103900	parasite-infected erythrocyte surface protein	Non - Mutable in CDS	0.128	-3.12	0	12.27		30	17.36	1728	172876	174603	+	18	0	1.09	N/A	N/A	N/A		
chr1	PF3D7_0104000	thrombospondin-related sporozoite protein	Mutable in CDS	0.989	-0.714	1	35.83		6	12.2	492	175621	176388	+	18	0	0	entry into host cell	N/A	cell surface		
chr1	PF3D7_0104100	"conserved Plasmodium membrane protein, unknown function"	Non - Mutable in CDS	0.119	-3.035	0	17.21		37	15.57	2376	178099	180802	+	18	0	8.92	N/A	N/A	N/A		
chr1	PF3D7_0104200	StAR-related lipid transfer protein	Non - Mutable in CDS	0.28	-3.379	0	15.57		32	22.84	1401	182834	184234	-	18	0	2.21	phospholipid transport	"phosphatidylcholine transporter activity, phosphatidylinositol transporter activity"	"host cell cytosol, integral component of membrane, symbiont-containing vacuole"		
chr1	PF3D7_0104300	"ubiquitin carboxyl-terminal hydrolase 1, putative"	Non - Mutable in CDS	0.292	-2.606	0	73.43		111	10.58	10494	190279	201234	+	22	0	4.18	ubiquitin-dependent protein catabolic process	ubiquitin thiolesterase activity	proteasome complex		
chr1	PF3D7_0104400	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	Mutable in CDS	0.993	-2.596	1	8.81		19	11.82	1608	202540	204147	+	18	0	2	"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway"	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity	apicoplast		
chr1	PF3D7_0104500	"conserved protein, unknown function"	Mutable in CDS	0.998	-0.62	1	58.07		9	10.79	834	204626	205459	-	18	0	1	N/A	N/A	N/A		
chr1	PF3D7_0104600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.12	-3.09	0	36.96		64	15.92	4020	206174	210193	+	18	0	3.41	N/A	N/A	N/A		
chr1	PF3D7_0104700	"major facilitator superfamily-related transporter, putative"	Mutable in CDS	0.999	-2.672	1	9.97		22	10.3	2136	210874	213009	+	18	0	5.67	N/A	N/A	N/A		
chr1	PF3D7_0104800	"novel putative transporter 1, putative"	Mutable in CDS	1	0.781	3	427.84		20	11.53	1734	215780	217513	+	19	0	1.25	N/A	N/A	cell periphery		
chr1	PF3D7_0105100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.12	-3.051	0	2.3	tentative	7	16.2	432	221206	221637	+	18	0	2	N/A	N/A	N/A		
chr1	PF3D7_0105200	"RAP protein, putative"	Mutable in CDS	0.8	-2.879	1	7.11		27	15.82	1707	222258	223964	-	18	0	1.4	N/A	mRNA binding	N/A		
chr1	PF3D7_0105300	cyclase-associated protein	Non - Mutable in CDS	0.141	-3.448	0	1.17	tentative	9	18.4	489	225114	225783	-	21	0	0	N/A	"actin monomer binding, adenylate cyclase binding, protein dimerization activity"	N/A		
chr1	PF3D7_0105400.1	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.929	-2.495	0	1.17	tentative	3	7.09	423	226685	227289	-	15	1	1.25	N/A	N/A	N/A		
chr1	PF3D7_0105500	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.161	-2.717	0	3.32		13	12.56	1035	228489	229523	-	17	0	2	N/A	N/A	N/A		
chr1	PF3D7_0105600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.12	-3.042	0	36.01		59	16.05	3675	230293	234406	-	18	0	2.76	N/A	N/A	N/A		
chr1	PF3D7_0105700	asparagine-rich antigen Pfa35-2	Mutable in CDS	1	-1.851	4	82.96		77	8.38	9192	238669	247860	+	119	9	4.34	N/A	N/A	N/A		
chr1	PF3D7_0105800	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.184	-2.713	0	8.76		30	12	2499	249234	252013	-	18	0	1.64	N/A	N/A	N/A		
chr1	PF3D7_0105900	"DNA binding protein, putative"	Mutable in CDS	0.886	-2.507	1	16.95		20	14.85	1347	253587	254933	+	18	0	2.2	N/A	DNA binding	N/A		
chr1	PF3D7_0106000	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.188	-2.706	0	16.72		33	11.92	2769	255778	258546	-	19	0	3.24	N/A	N/A	N/A		
chr1	PF3D7_0106100	"V-type proton ATPase subunit C, putative"	Non - Mutable in CDS	0.122	-2.999	0	9.56		17	14.76	1152	260661	261812	-	18	0	0.67	ATP synthesis coupled proton transport	"proton-transporting ATPase activity, rotational mechanism"	mitochondrial proton-transporting ATP synthase complex		
chr1	PF3D7_0106200	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	0.391	3	326.47		11	16.98	648	263343	264226	-	18	0	4.33	N/A	N/A	N/A		
chr1	PF3D7_0106300	calcium-transporting ATPase	Non - Mutable in CDS	0.131	-2.942	0	18.97		51	13.83	3687	265211	269176	-	36	1	1.88	"calcium ion transport, response to drug"	calcium-transporting ATPase activity	N/A		
chr1	PF3D7_0106400	"pre-rRNA-processing protein TSR2, putative"	Non - Mutable in CDS	0.154	0	0	0	tentative	9	19.11	471	272463	273435	+	18	0	6	N/A	N/A	N/A		
chr1	PF3D7_0106500	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.464	-2.487	0	27.47		40	9.44	4236	274346	278581	+	11	0	4.77	N/A	N/A	N/A		
chr1	PF3D7_0106600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.964	-2.138	0	3.93	tentative	6	6.67	900	279146	280045	+	16	0	13.5	N/A	N/A	N/A		
chr1	PF3D7_0106700	small ribosomal subunit assembling AARP2 protein	Non - Mutable in CDS	0.137	-2.771	0	28.66		58	13.47	4305	281186	285490	+	18	0	4.69	N/A	N/A	plasma membrane		
chr1	PF3D7_0106800	ras-related protein Rab-5C	Non - Mutable in CDS	0.264	-2.504	0	2.66		7	10.85	645	286970	288930	+	19	0	0	"regulation of vesicle-mediated transport, small GTPase mediated signal transduction"	GTPase activity	membrane		
chr1	PF3D7_0106900	"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative"	Non - Mutable in CDS	0.124	-2.887	0	16.99		32	14.51	2205	290412	292616	+	18	0	3.67	cellular response to drug	N/A	apicoplast		
chr1	PF3D7_0107000.1	centrin-1	Non - Mutable in CDS	0.132	-2.849	0	0.8		7	13.81	507	293692	294996	+	17	0	0.33	mitotic nuclear division	calcium ion binding	centrosome		
chr1	PF3D7_0107100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.199	-3.365	0	15.12		34	20.83	1632	295328	296959	-	18	0	3	N/A	N/A	N/A		
chr1	PF3D7_0107200	"carbon catabolite repressor protein 4, putative"	Mutable in CDS	1	0.564	2	145.64		14	13.81	1014	297386	299421	+	18	0	2	N/A	N/A	N/A		
chr1	PF3D7_0107300	"probable protein, unknown function"	Mutable in CDS	1	-2.108	1	6.07		10	8.33	1200	299586	300892	-	2	0	1.8	N/A	N/A	N/A		
chr1	PF3D7_0107400	"conserved Apicomplexan protein, unknown function"	Non - Mutable in CDS	1	-2.433	0	0.76	tentative	2	4.33	462	302961	303422	+	18	0	1.5	N/A	N/A	mitochondrion		
chr1	PF3D7_0107500	lipid/sterol:H+ symporter	Non - Mutable in CDS	0.261	-2.596	0	19.48		48	10.88	4413	304386	309281	-	18	0	2.37	N/A	N/A	N/A		
chr1	PF3D7_0107600	"serine/threonine protein kinase, putative"	Mutable in CDS	1	-2.835	2	44.52		66	13.78	4788	314656	319443	+	12	0	4.35	protein phosphorylation	"ATP binding, protein kinase activity"	N/A		
chr1	PF3D7_0107700	"conserved Plasmodium membrane protein, unknown function"	Mutable in CDS	0.479	-1.084	1	139.36		25	18.73	1335	320202	321536	+	18	0	3.25	N/A	N/A	apicoplast		
chr1	PF3D7_0107800	double-strand break repair protein MRE11	Mutable in CDS	1	-0.289	6	557.96		53	14.32	3702	322399	326100	+	18	0	4.43	N/A	protein binding	N/A		
chr1	PF3D7_0107900	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.124	-3.186	0	5.59		14	16.91	828	326424	327251	-	13	0	9	N/A	N/A	N/A		
chr1	PF3D7_0108000	"proteasome subunit beta type-3, putative"	Non - Mutable in CDS	0.123	-3.212	0	3.37		11	16.74	657	328458	329585	-	18	0	3	ubiquitin-dependent protein catabolic process	N/A	"proteasome core complex, beta-subunit complex"		
chr1	PF3D7_0108100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.133	-2.879	0	10.78		27	13.7	1971	330765	332735	+	18	0	2	N/A	N/A	N/A		
chr1	PF3D7_0108300	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-2.611	3	53.29		82	12.3	6666	337207	343872	+	19	0	2.03	N/A	N/A	"host cell cytoplasm, host cell surface"		
chr1	PF3D7_0108400.1	"mitochondrial carrier protein, putative"	Mutable in CDS	1	-2.123	1	5.42		9	9.06	993	344439	346579	-	21	1	4.5	N/A	N/A	N/A		
chr1	PF3D7_0108500	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	1	0	0	0	tentative	1	1.85	540	349209	349748	+	16	0	1.88	N/A	N/A	N/A		
chr1	PF3D7_0108600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.12	-3.19	0	3.13		14	15.2	921	350034	351665	-	19	0	16	N/A	N/A	N/A		
chr1	PF3D7_0108700	"secreted ookinete protein, putative"	Mutable in CDS	1	0.113	6	431.45		37	10.7	3459	352353	356250	-	19	0	6.65	N/A	N/A	N/A		
chr1	PF3D7_0108800	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.143	-3.102	0	6.64		20	18.47	1083	357873	360382	+	17	0	1.5	N/A	N/A	N/A		
chr1	PF3D7_0109000	"photosensitized INA-labeled protein PHIL1, putative"	Non - Mutable in CDS	0.122	-3.121	0	3.92		10	14.81	675	363361	364035	+	16	0	0	N/A	N/A	inner membrane complex		
chr1	PF3D7_0109100	LCCL domain-containing protein	Mutable in CDS	1	-2.243	4	75.54		50	16.18	3090	365653	368838	+	36	1	1.31	N/A	N/A	"crystalloid, endoplasmic reticulum lumen"		
chr1	PF3D7_0109200	"cleavage and polyadenylation specificity factor subunit 5, putative"	Non - Mutable in CDS	0.125	-3.001	0	4.27		10	14.31	699	369523	370221	-	17	0	0.6	N/A	N/A	N/A		
chr1	PF3D7_0109300	"fatty acid elongation protein, GNS1/SUR4 family, putative"	Non - Mutable in CDS	0.168	-2.779	0	10.76		12	12.38	969	371859	373056	-	29	1	2.38	N/A	N/A	plasma membrane		
chr1	PF3D7_0109400	"tubulin-specific chaperone a, putative"	Non - Mutable in CDS	0.24	-3.364	0	3.04		11	21.96	501	374483	375131	-	18	0	1.33	tubulin complex assembly	unfolded protein binding	N/A		
chr1	PF3D7_0109500	"N-acetyltransferase, putative"	Non - Mutable in CDS	0.659	-2.369	0	1.6	tentative	4	8.55	468	376338	377048	-	18	0	0	N-terminal protein amino acid acetylation	N-acetyltransferase activity	N/A		
chr1	PF3D7_0109600	"cold-shock protein, putative"	Non - Mutable in CDS	0.247	-3.269	0	0.42	tentative	5	11.04	453	377918	378643	-	18	0	6.5	"intracellular signal transduction, regulation of transcription, DNA-templated"	double-stranded DNA binding	N/A		
chr1	PF3D7_0109700	"rRNA biogenesis protein RRP36, putative"	Non - Mutable in CDS	0.157	-2.586	0	1.91		7	12.68	552	379193	379850	-	17	0	2.25	N/A	N/A	N/A		
chr1	PF3D7_0109800	phenylalanine--tRNA ligase alpha subunit	Non - Mutable in CDS	0.143	-3.147	0	15.13		32	18.52	1728	380741	382468	+	18	0	2.14	phenylalanyl-tRNA aminoacylation	phenylalanine-tRNA ligase activity	phenylalanine-tRNA ligase complex		
chr1	PF3D7_0110000	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-1.016	1	6.17		3	4.26	705	388416	389120	+	16	0	11	N/A	N/A	N/A		
chr1	PF3D7_0110100	"selenocysteine-specific elongation factor selB homologue, putative"	Mutable in CDS	1	-2.697	4	84.64		55	19.61	2805	389305	392109	-	18	0	6.38	translational elongation	translation elongation factor activity	N/A		
chr1	PF3D7_0110200	"FAD-linked sulfhydryl oxidase ERV1, putative"	Non - Mutable in CDS	0.208	-2.71	0	3.08	tentative	5	11.57	432	392648	393079	+	18	0	2.5	N/A	N/A	mitochondrion		
chr1	PF3D7_0110400	"DNA-directed RNA polymerase II subunit RPB9, putative"	Non - Mutable in CDS	0.486	-2.733	0	5.46		7	9.33	750	393919	394879	-	19	0	2.8	transcription from RNA polymerase II promoter	N/A	"DNA-directed RNA polymerase II, core complex"		
chr1	PF3D7_0110500	"bromodomain protein, putative"	Mutable in CDS	1	-2.257	4	57.15		72	10.5	6858	396635	403650	+	20	0	4.1	N/A	N/A	N/A		
chr1	PF3D7_0110600	phosphatidylinositol-4-phosphate 5-kinase	Non - Mutable in CDS	0.2	-2.765	0	17.67		60	11.69	5133	405783	412213	+	18	0	6.94	phosphatidylinositol phosphorylation	"1-phosphatidylinositol-4-phosphate 5-kinase activity, ADP-ribosylation factor binding"	N/A		
chr1	PF3D7_0110700	"chromatin assembly factor 1 protein WD40 domain, putative"	Non - Mutable in CDS	0.157	-3.013	0	3.74		17	12.68	1341	413804	415144	-	54	2	0.4	nucleosome assembly	"histone binding, unfolded protein binding"	N/A		
chr1	PF3D7_0110800	"transcription initiation factor TFIIB, putative"	Non - Mutable in CDS	0.199	-3.59	0	2.3		23	20.83	1104	417965	419651	+	19	0	0.83	transcription initiation from RNA polymerase II promoter	RNA polymerase II transcription factor activity	transcription factor complex		
chr1	PF3D7_0110900	adenylate kinase-like protein 1	Non - Mutable in CDS	0.12	-3.014	0	6.3		9	16.04	561	420337	420897	-	18	0	2	N/A	N/A	cytosol		
chr1	PF3D7_0111000	"kinesin-8, putative"	Mutable in CDS	1	-2.224	5	88.62		66	13.21	4995	421820	427619	-	36	1	2.56	microtubule-based movement	microtubule motor activity	kinesin complex		
chr1	PF3D7_0111200	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.339	0	0	0	tentative	3	10.2	294	430200	430907	-	18	0	0	N/A	N/A	N/A		
chr1	PF3D7_0111300	"replication factor c protein, putative"	Mutable in CDS	0.812	-2.874	1	23.93		55	15.7	3504	431588	435091	-	18	0	3.6	DNA replication	N/A	DNA replication factor C complex		
chr1	PF3D7_0111400	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.126	-3.209	0	22.16		37	17.15	2157	436457	438613	+	18	0	4.89	N/A	N/A	N/A		
chr1	PF3D7_0111500	"UMP-CMP kinase, putative"	Non - Mutable in CDS	0.12	-3.031	0	5.88		17	15.23	1116	439701	441467	-	18	0	3.67	pyrimidine nucleotide biosynthetic process	uridine kinase activity	apicoplast		
chr1	PF3D7_0111600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.435	-3.525	0	10.49		19	25.44	747	442592	443338	-	16	0	3	N/A	N/A	N/A		
chr1	PF3D7_0111700	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.916	-3.898	0	2.75	tentative	12	33.9	354	443634	443987	-	17	0	1	N/A	N/A	N/A		
chr1	PF3D7_0111800	"eukaryotic translation initiation factor 4E, putative"	Mutable in CDS	1	0.607	3	351.68		21	11.27	1863	446076	448899	+	19	0	5.33	N/A	N/A	N/A		
chr1	PF3D7_0111900	"conserved protein, unknown function"	Non - Mutable in CDS	0.121	0	0	0	tentative	4	16.26	246	450093	450696	-	17	0	0	N/A	N/A	N/A		
chr1	PF3D7_0112000	TatD-like deoxyribonuclease	Non - Mutable in CDS	0.121	-3.108	0	16.1		22	16.37	1344	450881	453168	-	17	0	6	"DNA metabolic process, pathogenesis"	N/A	"host cell membrane, symbiont-containing vacuole membrane"		
chr1	PF3D7_0112100	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.754	-2.189	1	18.21		8	16.26	492	454897	455388	+	18	0	0	N/A	N/A	N/A		
chr1	PF3D7_0112200	multidrug resistance-associated protein 1	Mutable in CDS	1	-1.001	12	633.58		82	14.99	5469	464776	470244	+	17	1	3.44	response to drug	"ATP binding, ATPase activity, coupled to transmembrane movement of substances, glutathione binding"	"ATP-binding cassette (ABC) transporter complex, integral component of plasma membrane"		
chr1	PF3D7_0112800	"Plasmodium exported protein (hyp11), unknown function"	Mutable in CDS	0.559	-2.078	1	18		11	17.97	612	481859	482668	-	9	0	11	N/A	N/A	host cell plasma membrane		
chr1	PF3D7_0112900	"Plasmodium exported protein, unknown function"	Mutable in CDS	0.995	-2.003	3	43.33		13	22.93	567	486550	487236	+	2	0	0.5	N/A	N/A	N/A		
chr1	PF3D7_0113000	glutamic acid-rich protein	Mutable in CDS	1	-2.159	1	4.79		12	5.93	2022	487942	490177	-	1	0	6.83	N/A	N/A	N/A		
chr1	PF3D7_0113100	surface-associated interspersed protein 1.1 (SURFIN 1.1)	Mutable in CDS	1	0.981	7	2027.85		53	11.35	4668	495296	500128	+	318	9	5.41	N/A	N/A	N/A		
chr1	PF3D7_0113200	"Plasmodium exported protein, unknown function"	Mutable in CDS	1	-1.287	2	47.14		16	8.99	1779	501011	502920	-	2	0	5.06	N/A	N/A	N/A		
chr1	PF3D7_0113300	"Plasmodium exported protein (hyp1), unknown function"	Non - Mutable in CDS	0.952	-2.159	0	0.79	tentative	12	6.84	1755	504990	506926	-	2	0	4.38	N/A	N/A	N/A		
chr1	PF3D7_0113400	"Plasmodium exported protein, unknown function"	Non - Mutable in CDS	0.987	-2.317	0	3.65	tentative	8	6.17	1296	508304	509800	-	2	0	9.22	N/A	N/A	N/A		
chr1	PF3D7_0113600	"surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene"	Mutable in CDS	1	-1.467	3	74.57		51	8.98	5679	512138	517907	+	318	9	8.59	N/A	N/A	N/A		
chr1	PF3D7_0113700	"heat shock protein 40, type II"	Mutable in CDS	1	-0.674	2	182.11		16	13.23	1209	520861	522633	+	2	0	1.5	response to heat	unfolded protein binding	host cell cytosol		
chr1	PF3D7_0113800	"DBL containing protein, unknown function"	Mutable in CDS	1	-2.076	9	67.46		78	8.96	8703	527161	536405	+	1	0	6.93	N/A	N/A	N/A		
chr1	PF3D7_0113900	"Plasmodium exported protein (hyp8), unknown function"	Non - Mutable in CDS	0.256	-2.691	0	5.19		8	10.93	732	537163	538079	-	4	1	1.25	N/A	N/A	host cell cytoplasm		
chr1	PF3D7_0114000	exported protein family 1	Mutable in CDS	1	-1.456	4	19.34		28	6.38	4392	542535	547038	+	12	13	4.6	N/A	protein binding	Maurer's cleft		
